Person_ID,Day,Exercise_Type,Duration_Minutes,Calories_Burned
76,Sunday,Badminton,146,876
77,Monday,Swimming,142,1704
77,Tuesday,Rock Climbing,83,830
77,Wednesday,Powerlifting,49,588
77,Thursday,Tennis,23,161
77,Friday,Volleyball,40,440
77,Saturday,Rock Climbing,132,1584
77,Sunday,Sit-ups,50,550
78,Monday,Rock Climbing,131,786
78,Tuesday,CrossFit,34,204
78,Wednesday,Cycling,89,534
78,Thursday,Skipping Rope,21,231
78,Friday,Battle Ropes,128,896
78,Saturday,Bench Press,107,642
78,Sunday,Crunches,56,448
79,Monday,Plank,93,1023
79,Tuesday,Tennis,117,1287
79,Wednesday,Pull-ups,91,546
79,Thursday,Cycling,46,552
79,Friday,Squats,81,648
79,Saturday,Treadmill,94,1034
79,Sunday,Squats,127,1016
80,Monday,Leg Press,46,368
80,Tuesday,Pull-ups,106,954
80,Wednesday,Football,47,282
80,Thursday,Strength Training,33,363
80,Friday,Dancing,127,1397
80,Saturday,Squats,32,288
80,Sunday,Shoulder Press,51,510
81,Monday,Spin Class,118,1062
81,Tuesday,Volleyball,40,440
81,Wednesday,Surfing,141,1269
81,Thursday,Basketball,125,1000
81,Friday,Handball,144,1440
81,Saturday,Table Tennis,37,370
81,Sunday,Boxing,127,889
82,Monday,Stretching,112,784
82,Tuesday,Walking,145,1015
82,Wednesday,Table Tennis,50,450
82,Thursday,Dancing,128,1408
82,Friday,Push-ups,120,840
82,Saturday,HIIT,89,534
82,Sunday,Leg Press,93,651
83,Monday,Pull-ups,92,644
83,Tuesday,Core Training,130,1040
83,Wednesday,Aerobics,104,728
83,Thursday,Jumping Jacks,88,792
83,Friday,Core Training,76,684
83,Saturday,Bench Press,122,1464
83,Sunday,Sprinting,47,470
84,Monday,Rowing,30,240
84,Tuesday,HIIT,67,804
84,Wednesday,Skating,91,637
84,Thursday,Leg Press,98,1176
84,Friday,Yoga,71,710
84,Saturday,Mountain Climbers,84,588
84,Sunday,Sit-ups,103,618
85,Monday,Yoga,114,684
85,Tuesday,Core Training,43,516
85,Wednesday,Resistance Band Workout,35,385
85,Thursday,Pull-ups,90,990
85,Friday,Pilates,93,1116
85,Saturday,Tennis,130,780
85,Sunday,Skipping Rope,94,1034
86,Monday,Plank,62,682
86,Tuesday,Hiking,80,880
86,Wednesday,Table Tennis,134,1072
86,Thursday,Plank,145,870
86,Friday,Sprinting,113,1356
86,Saturday,Plank,26,286
86,Sunday,Burpees,39,429
87,Monday,Hiking,100,700
87,Tuesday,Dancing,93,1023
87,Wednesday,Bench Press,79,553
87,Thursday,Crunches,48,384
87,Friday,Skipping Rope,62,682
87,Saturday,Zumba,31,372
87,Sunday,Stretching,114,912
88,Monday,Spin Class,53,424
88,Tuesday,Treadmill,83,747
88,Wednesday,Strength Training,133,1197
88,Thursday,Pilates,29,174
88,Friday,Handball,102,918
88,Saturday,Pull-ups,125,1125
88,Sunday,Treadmill,60,660
89,Monday,Football,81,810
89,Tuesday,Battle Ropes,88,704
89,Wednesday,Spin Class,130,780
89,Thursday,Plank,62,558
89,Friday,Cycling,142,1136
89,Saturday,Jumping Jacks,70,630
89,Sunday,Martial Arts,129,774
90,Monday,Leg Press,104,624
90,Tuesday,Plank,84,756
90,Wednesday,Battle Ropes,108,1080
90,Thursday,Elliptical,26,260
90,Friday,Rock Climbing,55,385
90,Saturday,Walking,117,1404
90,Sunday,Swimming,132,924
91,Monday,Strength Training,141,1551
91,Tuesday,Running,79,632
91,Wednesday,Handball,77,924
91,Thursday,Powerlifting,132,1188
91,Friday,Stair Climber,71,497
91,Saturday,Stair Climber,80,880
91,Sunday,Skating,131,1572
92,Monday,Surfing,143,1144
92,Tuesday,Running,125,1000
92,Wednesday,Volleyball,132,1188
92,Thursday,Hiking,133,1463
92,Friday,Strength Training,87,870
92,Saturday,Kickboxing,137,1233
92,Sunday,Rugby,82,902
93,Monday,Jumping Jacks,80,800
93,Tuesday,Running,143,1144
93,Wednesday,Kickboxing,46,414
93,Thursday,Sit-ups,66,660
93,Friday,Sprinting,128,768
93,Saturday,Stretching,132,1584
93,Sunday,Rugby,121,1210
94,Monday,Aerobics,29,348
94,Tuesday,Skipping Rope,144,1152
94,Wednesday,Martial Arts,82,574
94,Thursday,Cycling,124,992
94,Friday,Running,40,280
94,Saturday,Elliptical,118,1298
94,Sunday,Handball,44,528
95,Monday,Stair Climber,130,1560
95,Tuesday,Elliptical,132,1320
95,Wednesday,Running,140,1120
95,Thursday,Pull-ups,127,1397
95,Friday,Push-ups,85,935
95,Saturday,Battle Ropes,132,1320
95,Sunday,Leg Press,101,1111
96,Monday,Hiking,49,490
96,Tuesday,Elliptical,106,742
96,Wednesday,Football,28,196
96,Thursday,Volleyball,55,385
96,Friday,CrossFit,27,324
96,Saturday,Tennis,105,1050
96,Sunday,Tennis,143,1716
97,Monday,Kickboxing,126,1260
97,Tuesday,Swimming,67,402
97,Wednesday,Table Tennis,126,1260
97,Thursday,Sit-ups,57,399
97,Friday,Burpees,76,760
97,Saturday,Bench Press,48,384
97,Sunday,HIIT,26,234
98,Monday,Pull-ups,42,252
98,Tuesday,Aerobics,105,840
98,Wednesday,Badminton,142,1562
98,Thursday,Table Tennis,122,1342
98,Friday,Walking,108,1080
98,Saturday,Jumping Jacks,84,588
98,Sunday,Zumba,51,408
99,Monday,Stair Climber,82,738
99,Tuesday,Martial Arts,139,1668
99,Wednesday,Tennis,110,1100
99,Thursday,CrossFit,47,329
99,Friday,Core Training,138,1656
99,Saturday,Sprinting,110,660
99,Sunday,Hiking,45,450
100,Monday,Plank,92,736
100,Tuesday,Running,145,1450
100,Wednesday,CrossFit,29,290
100,Thursday,Strength Training,25,275
100,Friday,Kettlebell Workout,87,696
100,Saturday,Pull-ups,31,248
100,Sunday,Yoga,74,740
101,Monday,CrossFit,148,1036
101,Tuesday,Volleyball,61,427
101,Wednesday,Kettlebell Workout,73,803
101,Thursday,Treadmill,115,1035
101,Friday,Table Tennis,117,1170
101,Saturday,Shoulder Press,29,261
101,Sunday,Strength Training,96,768
102,Monday,Pilates,38,380
102,Tuesday,Cycling,106,1272
102,Wednesday,Resistance Band Workout,65,780
102,Thursday,Sprinting,108,1188
102,Friday,Pilates,118,1062
102,Saturday,Sprinting,49,539
102,Sunday,Yoga,38,228
103,Monday,Resistance Band Workout,59,472
103,Tuesday,Rowing,135,1350
103,Wednesday,Deadlifts,46,552
103,Thursday,Pilates,150,1500
103,Friday,Volleyball,36,432
103,Saturday,Bench Press,39,468
103,Sunday,Deadlifts,56,448
104,Monday,Aerobics,148,1036
104,Tuesday,Crunches,81,972
104,Wednesday,Skipping Rope,139,1668
104,Thursday,Shoulder Press,109,981
104,Friday,Squats,41,328
104,Saturday,Rock Climbing,61,366
104,Sunday,Basketball,113,1243
105,Monday,Shoulder Press,67,603
105,Tuesday,Handball,92,644
105,Wednesday,Badminton,114,1026
105,Thursday,Push-ups,124,744
105,Friday,Zumba,44,440
105,Saturday,Burpees,43,258
105,Sunday,Plank,32,224
106,Monday,Sit-ups,103,618
106,Tuesday,Rock Climbing,127,1143
106,Wednesday,Martial Arts,100,1200
106,Thursday,Handball,133,1596
106,Friday,Stair Climber,134,1206
106,Saturday,Burpees,126,756
106,Sunday,Deadlifts,113,904
107,Monday,Leg Press,46,506
107,Tuesday,Jumping Jacks,116,1160
107,Wednesday,CrossFit,26,182
107,Thursday,CrossFit,59,649
107,Friday,Skating,38,380
107,Saturday,Volleyball,140,1540
107,Sunday,Table Tennis,69,690
108,Monday,Stair Climber,27,270
108,Tuesday,CrossFit,52,364
108,Wednesday,Mobility Drills,114,912
108,Thursday,Rowing,131,1572
108,Friday,Elliptical,108,1080
108,Saturday,Stair Climber,87,1044
108,Sunday,Cycling,40,240
109,Monday,Kickboxing,98,1078
109,Tuesday,Pull-ups,45,315
109,Wednesday,CrossFit,133,1197
109,Thursday,Pilates,57,513
109,Friday,Lunges,150,900
109,Saturday,Rowing,46,322
109,Sunday,Jumping Jacks,138,1380
110,Monday,Shoulder Press,122,1342
110,Tuesday,Push-ups,130,910
110,Wednesday,Pilates,131,1441
110,Thursday,Deadlifts,132,1320
110,Friday,Powerlifting,61,610
110,Saturday,Strength Training,35,385
110,Sunday,Mobility Drills,134,1608
111,Monday,Jumping Jacks,52,624
111,Tuesday,Skating,124,1116
111,Wednesday,Mobility Drills,134,1474
111,Thursday,Skating,23,276
111,Friday,Dancing,83,830
111,Saturday,Skipping Rope,111,666
111,Sunday,Football,122,976
112,Monday,Swimming,107,856
112,Tuesday,Leg Press,87,1044
112,Wednesday,Shoulder Press,129,903
112,Thursday,Bench Press,115,1035
112,Friday,Pull-ups,121,1331
112,Saturday,Pilates,84,588
112,Sunday,Treadmill,23,138
113,Monday,Shoulder Press,100,1200
113,Tuesday,Kickboxing,84,672
113,Wednesday,Badminton,58,638
113,Thursday,Walking,119,1428
113,Friday,Sprinting,134,1340
113,Saturday,Plank,75,825
113,Sunday,Battle Ropes,130,780
114,Monday,Badminton,102,612
114,Tuesday,Rock Climbing,75,825
114,Wednesday,Kickboxing,55,550
114,Thursday,Elliptical,60,600
114,Friday,Yoga,36,432
114,Saturday,Volleyball,95,855
114,Sunday,Shoulder Press,25,150
115,Monday,Dancing,82,902
115,Tuesday,Sit-ups,65,455
115,Wednesday,Dancing,49,294
115,Thursday,Dancing,102,1224
115,Friday,Battle Ropes,40,240
115,Saturday,Deadlifts,93,744
115,Sunday,Pull-ups,73,438
116,Monday,Stair Climber,85,935
116,Tuesday,Deadlifts,126,882
116,Wednesday,Football,55,660
