Meal_Name,Meal_Type,Calories_kcal,Protein_g,Carbs_g,Fats_g
Steamed Dal,Breakfast,791,32.6,114.9,9.1
Masala Oats,Snack,214,43.3,41.1,13.9
Masala Soup,Lunch,650,17.8,41.0,31.0
Fried Chole,Breakfast,452,31.9,60.7,13.3
Curry Soya,Lunch,573,42.3,60.5,10.8
Grilled Rajma,Snack,560,16.1,31.2,16.6
Steamed Oats,Snack,449,11.6,111.8,32.2
Roasted Upma,Snack,188,39.8,35.2,26.8
Herb Soya,Dinner,566,17.5,28.9,25.6
Mild Dosa,Dinner,321,37.1,50.7,14.0
Tandoori Upma,Lunch,598,49.4,98.9,15.4
Curry Egg,Snack,447,8.0,88.4,5.4
Vegan Soya,Breakfast,786,48.3,118.8,27.7
Curry Salad,Snack,534,15.9,113.6,13.3
Classic Smoothie,Breakfast,518,8.1,55.4,33.9
Herb Soup,Dinner,678,24.3,107.8,37.2
Garlic Soup,Dinner,374,37.1,57.8,16.4
High Protein Smoothie,Dinner,598,31.5,10.3,38.7
High Protein Mushroom,Dinner,443,39.7,115.3,20.7
Tandoori Tofu,Breakfast,736,9.2,18.2,31.0
High Protein Paratha,Breakfast,549,26.8,53.6,12.8
Fried Dal,Dinner,280,18.9,79.2,18.3
Butter Sprouts,Dinner,420,23.2,85.4,19.4
Mild Paratha,Dinner,324,20.3,79.7,21.2
Tandoori Tofu,Snack,367,12.9,99.3,34.1
Spicy Lentil,Dinner,277,39.2,20.1,15.9
Garlic Dal,Snack,165,42.7,18.3,17.0
Low Fat Tofu,Breakfast,650,47.5,51.2,6.3
Garlic Dal,Breakfast,392,14.0,95.4,13.0
Tandoori Sandwich,Dinner,331,27.3,14.6,18.6
Butter Poha,Dinner,510,25.4,103.2,14.8
Steamed Quinoa,Breakfast,775,27.1,113.7,39.4
Roasted Biryani,Lunch,398,26.1,96.0,8.9
Curry Idli,Dinner,558,24.1,52.2,35.7
Low Fat Chicken,Lunch,370,33.6,86.3,25.2
Mild Chicken,Dinner,298,38.4,61.6,13.9
Masala Roti,Lunch,656,13.5,17.5,27.3
Steamed Smoothie,Dinner,474,43.8,35.8,6.2
Grilled White Rice,Breakfast,653,11.4,83.2,39.0
Grilled Soya,Dinner,159,20.7,56.9,33.6
Steamed Sprouts,Snack,372,43.7,112.5,5.3
Curry Soup,Snack,301,6.0,94.5,14.0
Spicy Chicken,Dinner,599,25.2,40.8,13.7
High Protein Salad,Lunch,608,38.2,100.0,14.0
Grilled Dal,Lunch,597,47.0,116.3,36.4
Masala Pulao,Breakfast,371,10.3,67.2,30.1
Garlic Fish,Breakfast,427,42.2,59.2,21.8
Herb Dosa,Dinner,425,48.5,96.0,37.4
Steamed Salad,Snack,260,31.5,84.9,8.1
Classic Poha,Lunch,797,39.3,51.0,14.5
Grilled Oats,Breakfast,572,13.2,78.1,26.2
Tandoori Brown Rice,Lunch,798,43.3,82.4,29.7
Vegan Sprouts,Breakfast,326,27.9,41.0,15.8
Vegan Idli,Breakfast,306,31.7,47.7,31.1
Fried White Rice,Breakfast,452,41.2,78.3,36.1
Herb Poha,Dinner,341,41.9,69.7,28.8
Butter Sandwich,Dinner,438,35.1,83.8,31.6
Grilled Oats,Breakfast,753,25.7,72.8,9.6
High Protein Upma,Breakfast,196,33.3,20.9,12.5
Steamed Sprouts,Dinner,637,44.8,18.0,22.0
Masala Biryani,Breakfast,250,41.6,100.2,12.8
Garlic Khichdi,Breakfast,248,40.2,76.9,6.7
Curry Pulao,Lunch,179,11.4,96.1,18.4
Mild Dal,Lunch,742,30.6,33.2,28.2
High Protein Tofu,Breakfast,718,13.5,13.9,5.8
Low Fat Dosa,Breakfast,480,15.5,52.7,28.7
Low Fat Paneer,Lunch,165,32.5,119.0,36.9
Garlic Upma,Dinner,631,49.1,106.2,5.0
Masala Lentil,Breakfast,199,18.6,77.7,19.5
Grilled Oats,Breakfast,575,42.0,61.3,37.3
Classic Upma,Dinner,246,38.3,43.3,9.1
Masala Roti,Lunch,742,48.5,23.2,12.9
Low Fat Upma,Dinner,315,6.7,77.2,25.4
Masala Egg,Lunch,587,34.1,46.1,23.2
Spicy Dosa,Snack,233,45.5,66.8,34.9
Mild Egg,Breakfast,304,14.3,61.6,7.1
Tandoori Dosa,Breakfast,368,14.3,24.3,32.4
Herb Dal,Breakfast,618,16.7,12.3,5.9
Vegan Soup,Breakfast,232,18.7,79.6,26.8
Curry Egg,Snack,749,27.2,55.2,23.0
Grilled Smoothie,Breakfast,217,6.4,87.7,21.4
Roasted Quinoa,Lunch,405,9.1,90.2,7.4
Roasted Dosa,Dinner,252,23.4,79.5,20.5
Herb Fish,Snack,515,14.2,112.6,6.4
Vegan Sprouts,Lunch,795,15.2,105.7,18.0
Spicy Poha,Breakfast,396,22.9,82.1,18.7
Tandoori Rajma,Lunch,255,11.2,80.7,9.0
Butter Soya,Dinner,786,45.6,75.7,15.9
Butter Paneer,Dinner,277,11.6,112.0,37.6
Mild Dal,Dinner,484,34.9,115.9,8.7
Curry Mushroom,Snack,348,6.8,78.5,17.0
Curry Tofu,Dinner,793,33.5,19.9,22.8
Masala Brown Rice,Dinner,377,21.5,14.6,15.4
Curry Biryani,Breakfast,393,22.0,118.4,25.7
Curry Smoothie,Snack,597,43.4,39.6,26.4
Mild Mushroom,Breakfast,293,24.9,60.3,5.6
Classic Quinoa,Breakfast,222,49.0,36.9,5.1
Vegan Brown Rice,Dinner,278,31.8,19.8,25.7
Vegan Oats,Snack,768,30.4,89.1,5.3
Mild Soup,Snack,732,24.6,92.7,19.0
Low Fat Dal,Breakfast,658,43.9,17.4,22.4
Grilled Sandwich,Breakfast,272,22.1,34.3,19.6
Butter Chicken,Snack,315,23.9,66.5,35.5
Mild Chicken,Dinner,671,41.8,69.5,22.1
Roasted Lentil,Breakfast,352,47.9,30.9,10.5
Spicy Mushroom,Dinner,283,36.4,57.3,32.7
Vegan Soup,Breakfast,689,45.8,21.8,12.6
Tandoori Paratha,Dinner,233,14.3,38.7,7.6
Classic Chicken,Dinner,160,33.3,47.2,35.5
Fried Biryani,Dinner,226,15.1,36.0,30.4
Mild Paratha,Snack,443,16.6,41.2,31.2
Mild Soup,Dinner,498,44.8,23.1,18.5
Tandoori Quinoa,Dinner,740,14.4,96.6,26.1
Herb Sandwich,Dinner,613,11.9,113.5,6.0
Dry Biryani,Dinner,589,25.0,113.9,39.0
Grilled Chole,Snack,518,5.3,14.4,7.9
Low Fat Soup,Breakfast,352,25.4,93.1,15.0
Mild Oats,Breakfast,365,21.7,11.7,21.6
Dry Poha,Lunch,499,7.3,118.2,34.2
Grilled Rajma,Lunch,324,24.3,108.9,39.5
Low Fat Mushroom,Breakfast,314,14.3,81.0,22.5
Tandoori Salad,Snack,332,5.0,60.9,15.9
Vegan Paratha,Snack,422,21.4,52.8,21.7
Butter White Rice,Breakfast,582,49.9,75.6,32.2
Tandoori Salad,Breakfast,485,38.7,104.5,22.5
Masala Upma,Snack,785,5.6,22.3,39.3
Herb Soya,Breakfast,501,19.2,43.8,23.2
Classic Idli,Breakfast,643,30.5,11.8,7.2
Roasted Dal,Dinner,728,18.6,51.5,22.9
Roasted Dal,Breakfast,790,41.0,39.3,39.4
Herb Brown Rice,Lunch,553,12.1,10.9,17.4
Roasted Paratha,Snack,395,40.7,90.6,26.8
High Protein Mushroom,Snack,211,10.8,24.4,14.7
Roasted Fish,Lunch,737,34.1,63.2,10.1
Vegan Pulao,Snack,217,28.4,10.0,34.6
Butter Oats,Dinner,693,41.9,57.6,31.8
Dry Soup,Lunch,417,34.5,77.1,17.1
Low Fat Fish,Breakfast,584,15.8,21.5,38.3
Vegan White Rice,Dinner,175,10.1,115.5,21.9
Classic Fish,Snack,545,19.0,110.6,24.5
Grilled Rajma,Breakfast,337,28.6,109.7,13.0
Fried Idli,Dinner,314,21.0,97.3,38.1
Low Fat Dosa,Snack,386,31.2,114.5,12.3
Steamed Egg,Dinner,261,40.4,59.8,13.0
Curry Soup,Dinner,614,37.0,39.4,27.8
Roasted Egg,Breakfast,696,45.2,53.1,37.1
Spicy Paratha,Lunch,286,8.3,27.9,6.2
Roasted Sprouts,Lunch,555,21.8,68.0,20.3
Masala Dosa,Breakfast,151,49.6,59.6,17.2
Classic Lentil,Snack,602,21.5,44.0,36.8
Tandoori Salad,Breakfast,792,23.7,56.5,35.0
Fried Mushroom,Snack,413,19.8,15.8,37.4
Spicy Soya,Snack,238,17.8,16.2,6.6
Mild Oats,Dinner,606,11.3,111.5,21.6
Butter Tofu,Dinner,260,8.4,39.0,8.0
Mild Idli,Lunch,609,18.3,47.5,20.2
Vegan Paneer,Breakfast,468,49.6,111.0,24.4
Herb Chicken,Breakfast,202,26.3,110.8,33.0
Butter Chicken,Dinner,323,9.8,109.4,34.6
Dry Dosa,Snack,669,40.3,36.7,18.5
Spicy Dal,Lunch,204,11.6,88.7,35.2
High Protein Smoothie,Dinner,453,6.0,95.0,17.8
Dry Tofu,Snack,774,10.6,113.1,34.9
Garlic Mushroom,Lunch,704,44.9,17.6,12.9
Steamed Lentil,Lunch,298,5.3,40.8,15.2
Low Fat Egg,Breakfast,753,30.5,80.8,36.5
Butter White Rice,Dinner,691,19.3,24.3,33.1
Fried Chole,Breakfast,458,40.8,22.7,25.6
Low Fat Smoothie,Breakfast,515,22.5,46.3,29.0
Low Fat Oats,Snack,427,41.6,77.1,14.9
Masala Paneer,Snack,798,39.5,68.1,17.5
Tandoori Paneer,Lunch,786,49.7,67.8,8.3
Steamed Fish,Lunch,508,48.4,103.5,20.2
Butter Brown Rice,Lunch,181,20.9,98.2,25.5
Mild Paneer,Lunch,726,50.0,29.8,6.9
Low Fat Khichdi,Dinner,168,36.6,53.3,16.9
Steamed Soya,Dinner,473,6.6,21.1,36.0
Mild Soya,Breakfast,448,46.8,55.8,33.3
Curry Khichdi,Dinner,162,26.8,41.2,36.5
Roasted Pulao,Lunch,715,26.6,112.8,11.5
Butter Sandwich,Breakfast,496,25.6,39.0,5.8
Dry Paneer,Lunch,611,27.2,62.2,15.4
Butter Paratha,Snack,698,48.3,93.6,26.1
Spicy Oats,Breakfast,550,30.1,56.7,20.7
Butter Idli,Breakfast,193,35.2,77.1,18.6
Vegan Rajma,Breakfast,215,19.7,77.5,22.7
Masala Tofu,Dinner,742,18.1,113.4,32.1
Roasted Egg,Dinner,276,29.4,29.8,31.1
Curry Mushroom,Snack,236,28.1,28.8,20.3
Classic Egg,Lunch,286,39.4,59.9,12.1
Low Fat Soya,Dinner,594,33.6,91.3,27.8
High Protein Oats,Dinner,625,9.2,113.4,38.6
Grilled Quinoa,Snack,231,33.9,34.3,21.8
Low Fat Tofu,Lunch,422,37.4,39.1,31.5
Grilled Soup,Lunch,350,35.4,55.4,11.5
Grilled Soya,Snack,719,16.7,116.9,36.6
Fried Smoothie,Lunch,161,29.0,47.6,36.6
Grilled Chole,Dinner,477,43.6,95.7,5.4
Steamed Smoothie,Breakfast,241,43.0,41.1,15.7
Herb Upma,Breakfast,520,45.0,64.7,23.9
Garlic Oats,Lunch,588,47.7,93.5,21.1
Garlic Oats,Snack,292,22.6,75.7,33.2
Curry Soup,Dinner,478,18.4,50.7,31.8
Grilled Chole,Snack,538,16.2,41.3,39.4
Grilled Paratha,Snack,166,20.4,88.2,15.0
Butter Khichdi,Snack,542,30.7,76.7,31.4
Mild Sprouts,Dinner,318,12.2,16.3,9.7
Fried Oats,Breakfast,330,16.4,105.0,16.8
Mild Egg,Breakfast,708,47.0,19.0,22.7
Steamed Dal,Lunch,319,14.6,61.8,13.4
Tandoori Pulao,Lunch,716,31.5,10.6,23.8
Garlic Tofu,Lunch,510,41.4,22.7,26.2
High Protein Idli,Snack,593,14.2,93.7,36.8
Dry Brown Rice,Snack,591,35.6,40.6,38.5
Curry Chicken,Dinner,442,39.1,69.4,15.5
Roasted Soup,Breakfast,666,8.3,87.6,36.2
Masala Sprouts,Breakfast,491,21.7,41.4,18.4
Butter Upma,Lunch,699,42.9,24.5,7.7
Curry Idli,Snack,330,24.8,104.0,23.5
Classic Soup,Lunch,620,26.0,19.3,31.2
High Protein Idli,Lunch,285,8.7,73.2,7.2
Roasted Dal,Lunch,418,36.1,108.3,7.5
Classic Biryani,Dinner,191,30.6,32.6,24.2
Vegan Smoothie,Snack,575,38.2,59.3,11.8
Fried Oats,Dinner,597,10.2,20.9,33.8
Curry Khichdi,Lunch,485,24.3,47.4,23.5
Steamed Brown Rice,Breakfast,469,43.9,19.3,7.8
Butter Idli,Breakfast,681,43.3,19.7,19.7
Curry Tofu,Breakfast,506,44.2,105.7,15.6
Grilled Smoothie,Lunch,303,27.8,52.3,11.6
Vegan Dal,Snack,282,36.5,61.7,32.6
Roasted Chicken,Breakfast,654,9.8,110.0,19.2
Grilled Fish,Lunch,462,8.5,104.9,13.9
Vegan Smoothie,Lunch,649,14.9,90.8,11.1
Herb Egg,Breakfast,282,5.5,44.0,29.9
Mild Soup,Breakfast,779,44.5,21.4,16.4
High Protein Khichdi,Dinner,658,25.6,37.1,16.2
Classic Paratha,Dinner,163,49.3,109.7,7.0
Tandoori Tofu,Snack,781,34.2,57.4,28.9
Vegan Sprouts,Dinner,462,43.3,89.4,9.1
Tandoori Egg,Lunch,259,34.7,73.1,34.5
Vegan Rajma,Breakfast,665,23.1,46.2,26.2
Garlic Idli,Snack,745,23.5,11.4,29.0
Classic Mushroom,Snack,249,28.7,22.3,23.4
Garlic Sprouts,Dinner,784,48.9,70.4,38.0
Herb Upma,Snack,602,32.6,81.1,23.4
Low Fat Soup,Dinner,572,20.9,76.9,15.8
Vegan Chicken,Breakfast,268,47.3,20.0,35.3
Vegan Egg,Snack,367,45.2,71.0,38.7
Steamed Soup,Dinner,506,30.5,39.6,22.8
Classic Mushroom,Breakfast,489,36.3,109.6,5.8
Roasted Roti,Dinner,508,41.0,16.6,12.5
Roasted Biryani,Dinner,480,18.8,27.7,36.4
Tandoori Smoothie,Snack,290,46.6,99.6,12.1
Fried Paneer,Dinner,319,23.0,78.9,9.5
Spicy Smoothie,Lunch,732,23.6,15.7,39.8
Herb Oats,Dinner,508,43.6,104.1,29.8
Fried Oats,Lunch,699,12.5,40.0,39.1
Tandoori Poha,Dinner,270,25.7,27.9,34.9
Herb Fish,Breakfast,296,44.7,58.1,24.3
Mild Biryani,Dinner,602,22.9,22.1,31.4
Masala Dal,Breakfast,206,20.1,28.3,24.8
Steamed Biryani,Breakfast,197,45.1,88.2,26.7
Curry Soup,Breakfast,482,35.6,55.6,19.0
High Protein Upma,Snack,424,21.2,89.7,11.4
Spicy Oats,Snack,509,13.2,97.4,22.6
Classic Pulao,Snack,301,24.4,16.4,38.5
Tandoori Soup,Lunch,624,12.2,28.3,30.6
Herb Poha,Breakfast,297,11.4,32.0,21.5
High Protein Upma,Breakfast,528,33.9,76.5,7.7
Grilled Paratha,Breakfast,369,41.0,116.9,17.1
High Protein Poha,Snack,157,22.3,76.8,36.1
High Protein Mushroom,Dinner,638,35.7,79.2,37.3
Mild Poha,Snack,781,23.0,81.4,8.3
High Protein Smoothie,Dinner,487,21.3,36.2,24.5
Fried Oats,Dinner,408,30.7,65.6,32.9
Dry Paratha,Breakfast,326,36.5,52.5,31.2
Butter Pulao,Lunch,347,27.2,71.0,21.8
Curry Biryani,Lunch,328,40.2,67.4,17.2
Herb Soya,Breakfast,783,42.4,42.0,26.5
Spicy Sprouts,Breakfast,788,9.8,44.2,14.3
Dry Paratha,Breakfast,303,31.7,97.7,35.0
Classic Fish,Breakfast,169,44.0,92.3,27.4
Fried Egg,Lunch,225,43.3,11.5,18.4
Tandoori Poha,Dinner,166,45.5,90.7,39.4
Masala Roti,Lunch,690,5.5,105.9,5.1
Garlic Sandwich,Lunch,229,37.3,107.4,5.4
Dry White Rice,Breakfast,178,39.2,89.0,10.3
Classic Egg,Lunch,442,35.5,22.4,11.1
Masala Khichdi,Dinner,518,31.7,31.4,32.8
Low Fat Sprouts,Breakfast,586,29.1,117.6,15.7
Dry Paneer,Dinner,239,34.1,65.8,10.7
Butter Tofu,Lunch,236,42.5,94.8,34.8
Low Fat Paneer,Dinner,179,6.1,47.9,34.6
Grilled Khichdi,Snack,614,15.0,72.5,33.4
Grilled Smoothie,Lunch,729,22.1,77.4,10.0
Roasted Salad,Breakfast,257,11.6,43.5,34.5
Steamed Upma,Lunch,262,30.7,80.9,19.2
Curry White Rice,Breakfast,360,41.7,15.2,22.5
Dry Pulao,Snack,633,9.0,85.2,12.6
High Protein Rajma,Lunch,358,35.1,60.0,32.5
Classic Fish,Breakfast,797,29.3,73.5,6.9
Masala Roti,Snack,206,15.0,62.0,10.8
Herb Quinoa,Lunch,294,30.0,44.5,9.1
Steamed Biryani,Snack,212,16.7,21.5,34.9
Curry Salad,Dinner,323,11.2,96.0,6.2
Low Fat Salad,Snack,533,35.5,112.5,20.2
Roasted Egg,Breakfast,626,15.7,19.5,39.3
High Protein Poha,Lunch,373,23.1,68.0,22.9
Fried Roti,Dinner,643,20.2,82.8,16.3
Garlic Smoothie,Breakfast,716,42.0,41.1,31.3
High Protein Lentil,Lunch,776,28.0,49.1,20.0
Tandoori Salad,Dinner,320,13.6,91.4,13.5
Vegan Roti,Breakfast,796,48.4,23.3,15.3
Butter Oats,Breakfast,609,20.0,23.4,14.4
Dry Sprouts,Lunch,281,33.6,109.1,6.2
Classic Dosa,Dinner,437,39.0,33.9,29.2
Grilled Idli,Breakfast,460,36.8,18.9,37.7
Herb Upma,Breakfast,506,48.1,54.3,39.7
Steamed Quinoa,Breakfast,303,9.6,41.6,28.5
Dry Poha,Breakfast,763,47.4,17.5,31.1
Classic Sandwich,Snack,794,7.9,115.8,7.7
Tandoori Mushroom,Breakfast,643,38.3,75.7,6.9
Spicy Upma,Breakfast,432,8.3,93.4,16.6
Herb Pulao,Lunch,310,48.3,104.6,38.9
High Protein Salad,Lunch,426,45.1,62.4,7.9
Spicy White Rice,Breakfast,269,17.0,60.4,37.5
Tandoori Chole,Dinner,714,14.3,109.9,27.8
Masala Poha,Snack,788,39.3,47.4,24.7
High Protein White Rice,Dinner,223,30.4,87.9,20.1
Classic Tofu,Breakfast,281,29.3,108.8,22.1
Classic Sandwich,Breakfast,665,12.9,68.7,19.6
Fried Fish,Lunch,456,19.1,67.3,12.9
Herb Tofu,Breakfast,540,46.9,84.4,5.8
Tandoori Oats,Breakfast,784,11.4,112.2,18.6
Mild Idli,Snack,610,15.2,92.9,38.4
Roasted Salad,Dinner,518,5.8,65.4,12.6
High Protein Egg,Lunch,464,39.4,106.9,35.9
Steamed Sandwich,Lunch,389,24.6,112.5,33.2
Masala Tofu,Dinner,213,44.1,66.8,32.6
Spicy White Rice,Lunch,594,25.5,92.5,7.7
High Protein Smoothie,Lunch,386,46.9,114.1,7.1
Roasted Chole,Dinner,742,6.6,34.5,18.4
Masala Biryani,Breakfast,389,36.2,93.2,13.9
Low Fat Chicken,Lunch,203,7.8,18.2,34.9
Masala Biryani,Dinner,196,13.0,30.7,34.2
Fried Chicken,Snack,734,44.0,53.7,18.5
Classic Brown Rice,Breakfast,579,16.4,73.3,37.2
Low Fat Egg,Dinner,420,12.5,39.5,29.8
Garlic Smoothie,Dinner,433,7.3,27.3,11.0
Masala White Rice,Breakfast,433,19.1,111.9,30.3
Steamed Soup,Breakfast,574,6.6,115.9,28.1
Butter Fish,Breakfast,419,22.2,68.2,16.9
Tandoori Mushroom,Breakfast,711,8.1,23.5,22.9
Herb Sprouts,Snack,672,9.6,56.5,35.1
Steamed Rajma,Breakfast,625,47.7,76.3,31.3
Mild Oats,Lunch,469,29.5,31.1,14.6
Garlic Pulao,Lunch,589,17.8,59.7,9.1
High Protein Smoothie,Snack,576,12.6,73.7,21.7
Classic Khichdi,Breakfast,406,39.2,22.4,16.5
Garlic Pulao,Lunch,730,30.1,70.2,25.5
Grilled Fish,Dinner,650,31.4,19.2,21.8
Mild Fish,Snack,653,45.4,64.8,38.8
Low Fat Tofu,Dinner,484,19.6,16.9,20.7
Steamed Soup,Breakfast,604,30.3,61.1,18.7
Classic Lentil,Snack,495,6.0,46.9,20.6
Steamed Upma,Breakfast,647,22.3,15.9,35.1
Garlic Paneer,Snack,285,13.3,91.7,28.5
Spicy Salad,Dinner,785,37.1,40.2,22.4
Herb Quinoa,Dinner,310,21.4,16.1,31.1
Low Fat Sandwich,Breakfast,465,27.0,64.5,7.1
High Protein Paneer,Breakfast,777,16.9,118.1,20.1
Spicy Soya,Lunch,746,11.3,38.8,31.2
Mild Soya,Breakfast,528,24.1,25.4,31.1
Herb Upma,Breakfast,434,46.0,87.8,15.3
Steamed Paratha,Lunch,285,9.4,29.0,33.1
Low Fat White Rice,Lunch,274,27.4,85.2,19.0
Garlic Chicken,Dinner,268,14.0,114.8,18.9
Herb Oats,Snack,794,16.3,65.9,38.2
Dry Sandwich,Snack,722,8.2,31.5,7.4
Grilled Poha,Lunch,248,6.0,108.0,39.1
Vegan Idli,Lunch,235,12.1,34.3,5.1
Roasted Sandwich,Snack,152,29.9,42.3,12.3
Spicy Egg,Breakfast,270,8.0,112.0,38.2
Dry White Rice,Snack,584,8.2,62.4,37.8
Fried Sandwich,Lunch,638,14.9,117.2,22.0
Vegan Dal,Dinner,561,14.7,78.8,20.3
Low Fat White Rice,Snack,603,26.4,90.8,22.4
Roasted Dosa,Dinner,488,7.6,85.5,29.3
Vegan Sprouts,Snack,740,27.8,27.5,34.4
High Protein White Rice,Breakfast,555,26.4,114.7,30.2
Classic Paneer,Snack,279,42.9,118.9,18.5
Steamed Upma,Breakfast,197,8.5,14.4,34.1
Garlic Oats,Snack,540,22.4,74.7,27.9
High Protein Idli,Snack,762,44.1,25.3,5.7
Vegan Dal,Snack,653,9.9,96.3,5.5
Butter Paratha,Breakfast,657,11.2,32.3,33.6
Vegan Smoothie,Lunch,437,22.4,84.3,36.0
Vegan Sprouts,Lunch,386,27.5,30.3,17.9
Roasted Salad,Snack,695,15.5,76.7,25.7
Herb Upma,Dinner,215,25.9,62.5,26.1
Masala Soup,Breakfast,782,48.5,107.7,11.2
Steamed Chicken,Lunch,263,11.4,113.2,12.0
Butter Paneer,Breakfast,457,30.9,91.5,6.7
Roasted Soup,Snack,256,14.6,35.6,14.3
Mild Oats,Lunch,660,48.9,32.8,8.4
Mild Egg,Lunch,161,8.1,107.7,12.3
Grilled Roti,Breakfast,367,43.0,14.0,37.0
Classic Oats,Lunch,527,26.9,116.9,18.7
Classic Egg,Lunch,603,26.9,88.8,7.6
Low Fat Brown Rice,Lunch,363,5.8,35.8,39.3
Grilled Brown Rice,Lunch,708,29.6,37.7,5.8
Mild Biryani,Breakfast,249,36.2,62.8,18.4
Roasted Idli,Breakfast,592,32.6,40.3,10.1
Vegan Upma,Snack,780,47.9,55.8,37.6
Spicy Oats,Dinner,602,7.8,16.9,19.4
Low Fat Brown Rice,Lunch,665,13.9,25.9,9.3
Steamed Roti,Lunch,619,49.1,101.9,17.1
Grilled Idli,Breakfast,586,49.7,56.4,31.9
Dry Mushroom,Breakfast,656,29.3,74.8,34.8
Masala Oats,Snack,339,37.5,40.0,29.9
Spicy Idli,Lunch,617,21.2,47.5,11.3
Vegan Lentil,Dinner,739,23.3,87.5,36.9
Classic White Rice,Lunch,422,13.7,46.1,32.0
Vegan Salad,Dinner,363,7.4,76.4,33.6
High Protein Lentil,Dinner,608,26.7,41.6,28.6
Herb Rajma,Dinner,501,48.3,46.4,16.2
Roasted Poha,Lunch,458,37.3,10.1,24.7
Grilled Paneer,Breakfast,414,32.8,27.7,37.3
High Protein Fish,Dinner,745,48.5,69.4,28.8
Low Fat Sprouts,Snack,564,14.4,93.9,39.7
Grilled Biryani,Dinner,610,36.2,31.6,6.9
Tandoori Upma,Breakfast,545,26.0,24.0,20.0
Butter Mushroom,Lunch,162,43.5,102.3,20.4
Masala Poha,Breakfast,385,42.5,100.9,5.3
Vegan Lentil,Lunch,204,34.1,88.1,17.1
Roasted Quinoa,Breakfast,574,35.2,113.8,5.2
Classic Egg,Snack,352,48.6,93.0,5.0
Fried Fish,Dinner,360,24.6,45.4,14.1
Spicy Paneer,Dinner,730,14.3,49.5,37.3
Fried Dosa,Lunch,504,21.5,95.4,17.0
High Protein Sandwich,Breakfast,200,48.0,74.0,38.9
Tandoori Poha,Snack,629,37.3,104.7,5.0
Spicy Rajma,Breakfast,787,14.6,52.1,19.0
Tandoori Idli,Dinner,790,46.1,62.0,15.5
Masala Smoothie,Breakfast,443,33.3,12.3,37.7
Grilled Roti,Snack,451,9.3,100.9,20.7
Spicy Fish,Breakfast,517,33.8,20.0,7.0
Classic Poha,Dinner,355,29.9,82.3,18.4
Spicy Tofu,Breakfast,732,36.8,73.8,37.2
Classic Salad,Breakfast,370,28.7,42.8,15.2
Grilled Chole,Dinner,605,23.8,118.8,33.7
Vegan Smoothie,Snack,706,15.9,95.4,8.2
Steamed Quinoa,Dinner,402,17.9,58.2,15.0
Garlic Sandwich,Snack,572,50.0,71.8,29.7
Spicy Egg,Dinner,779,32.2,74.8,22.6
Dry Lentil,Lunch,211,40.7,108.3,38.5
Vegan Dal,Dinner,582,14.2,17.2,17.0
Masala Sprouts,Lunch,344,12.9,78.1,24.7
Steamed Khichdi,Breakfast,543,14.2,79.2,14.0
Herb Rajma,Breakfast,189,26.9,10.0,23.7
